Sbj,Emo,Fctype,Grp,Emo2,Trial,Side,fixDur,fixNum,TotlDur,TotlNum,weight,fixDurPor,Famil
93,FEAR,Own,UK,FEAR,1,R,3.28,6,4.447,9,0.8894,0.73757589386103,famil
93,FEAR,Own,UK,HAPPY,1,L,0.75,2,4.447,9,0.8894,0.168653024510906,novel
93,FEAR,Own,UK,FEAR,2,L,0.832,3,4.598,16,0.9196,0.180948238364506,famil
93,FEAR,Own,UK,HAPPY,2,R,3.316,11,4.598,16,0.9196,0.721183123096999,novel
94,FEAR,Own,UK,FEAR,1,R,2.998,7,4.98,11,0.996,0.602008032128514,famil
94,FEAR,Own,UK,HAPPY,1,L,1.732,3,4.98,11,0.996,0.347791164658634,novel
94,FEAR,Own,UK,FEAR,2,L,1.149,2,5,8,1,0.2298,famil
94,FEAR,Own,UK,HAPPY,2,R,3.851,6,5,8,1,0.7702,novel
95,FEAR,Own,UK,FEAR,1,R,2.848,6,4.764,10,0.9528,0.597816960537364,famil
95,FEAR,Own,UK,HAPPY,1,L,1.916,4,4.764,10,0.9528,0.402183039462637,novel
95,FEAR,Own,UK,FEAR,2,L,1.548,5,5,10,1,0.3096,famil
95,FEAR,Own,UK,HAPPY,2,R,2.848,4,5,10,1,0.5696,novel
96,FEAR,Own,UK,FEAR,1,L,2.183,4,4.881,10,0.9762,0.447244417127638,famil
96,FEAR,Own,UK,HAPPY,1,R,2.698,6,4.881,10,0.9762,0.552755582872362,novel
96,FEAR,Own,UK,FEAR,2,R,3.449,7,5,11,1,0.6898,famil
96,FEAR,Own,UK,HAPPY,2,L,1.551,4,5,11,1,0.3102,novel
97,HAPPY,Own,UK,FEAR,1,L,1.616,4,4.564,11,0.9128,0.35407537248028,novel
97,HAPPY,Own,UK,HAPPY,1,R,2.948,7,4.564,11,0.9128,0.64592462751972,famil
97,HAPPY,Own,UK,FEAR,2,R,2.901,8,5,14,1,0.5802,novel
97,HAPPY,Own,UK,HAPPY,2,L,1.25,3,5,14,1,0.25,famil
98,HAPPY,Own,UK,FEAR,1,L,1.002,2,5,9,1,0.2004,novel
98,HAPPY,Own,UK,HAPPY,1,R,3.498,6,5,9,1,0.6996,famil
98,HAPPY,Own,UK,FEAR,2,R,2.965,4,4.597,7,0.9194,0.644985860343702,novel
98,HAPPY,Own,UK,HAPPY,2,L,1.282,2,4.597,7,0.9194,0.278877528823146,famil
99,HAPPY,Own,UK,FEAR,1,R,2.869,6,5,10,1,0.5738,novel
99,HAPPY,Own,UK,HAPPY,1,L,1.815,3,5,10,1,0.363,famil
99,HAPPY,Own,UK,FEAR,2,L,1.332,3,3.88,9,0.776,0.343298969072165,novel
99,HAPPY,Own,UK,HAPPY,2,R,2.398,5,3.88,9,0.776,0.618041237113402,famil
100,HAPPY,Own,UK,FEAR,1,L,1.932,4,4.446,11,0.8892,0.434547908232119,novel
100,HAPPY,Own,UK,HAPPY,1,R,2.297,6,4.446,11,0.8892,0.516644174538911,famil
100,HAPPY,Own,UK,FEAR,2,R,1.482,4,3.28,8,0.656,0.451829268292683,novel
100,HAPPY,Own,UK,HAPPY,2,L,1.332,2,3.28,8,0.656,0.40609756097561,famil
101,HAPPY,Own,UK,FEAR,1,L,2.882,5,4.597,9,0.9194,0.626930606917555,novel
101,HAPPY,Own,UK,HAPPY,1,R,1.715,4,4.597,9,0.9194,0.373069393082445,famil
101,HAPPY,Own,UK,FEAR,2,R,3.851,7,5,9,1,0.7702,novel
101,HAPPY,Own,UK,HAPPY,2,L,1.149,2,5,9,1,0.2298,famil
102,HAPPY,Own,UK,FEAR,1,L,3.185,5,5,9,1,0.637,novel
102,HAPPY,Own,UK,HAPPY,1,R,1.515,3,5,9,1,0.303,famil
102,HAPPY,Own,UK,FEAR,2,R,1.133,2,4.947,8,0.9894,0.229027693551647,novel
102,HAPPY,Own,UK,HAPPY,2,L,3.148,4,4.947,8,0.9894,0.636345259753386,famil
103,HAPPY,Own,UK,FEAR,1,L,2.165,5,4.23,9,0.846,0.511820330969267,novel
103,HAPPY,Own,UK,HAPPY,1,R,2.065,4,4.23,9,0.846,0.488179669030733,famil
103,HAPPY,Own,UK,FEAR,2,R,2.498,4,4.779,9,0.9558,0.522703494454907,novel
103,HAPPY,Own,UK,HAPPY,2,L,1.898,4,4.779,9,0.9558,0.397154216363256,famil
104,HAPPY,Own,UK,FEAR,1,R,2.932,5,5,9,1,0.5864,novel
104,HAPPY,Own,UK,HAPPY,1,L,1.718,3,5,9,1,0.3436,famil
104,HAPPY,Own,UK,FEAR,2,L,3.048,3,5,6,1,0.6096,novel
104,HAPPY,Own,UK,HAPPY,2,R,1.952,3,5,6,1,0.3904,famil
105,HAPPY,Own,UK,FEAR,1,R,2.182,9,3.049,13,0.6098,0.715644473597901,novel
105,HAPPY,Own,UK,HAPPY,1,L,0.7,3,3.049,13,0.6098,0.229583469990161,famil
105,HAPPY,Own,UK,FEAR,2,L,2.131,8,2.88,13,0.576,0.739930555555555,novel
105,HAPPY,Own,UK,HAPPY,2,R,0.666,4,2.88,13,0.576,0.23125,famil
106,HAPPY,Own,UK,FEAR,1,L,1.7,7,4.665,15,0.933,0.364415862808146,novel
106,HAPPY,Own,UK,HAPPY,1,R,2.432,7,4.665,15,0.933,0.521329046087889,famil
106,HAPPY,Own,UK,FEAR,2,R,2.897,9,4.28,14,0.856,0.676869158878505,novel
106,HAPPY,Own,UK,HAPPY,2,L,1.383,5,4.28,14,0.856,0.323130841121495,famil
107,HAPPY,Own,UK,FEAR,1,L,2.22,6,5,13,1,0.444,novel
107,HAPPY,Own,UK,HAPPY,1,R,2.414,6,5,13,1,0.4828,famil
107,HAPPY,Own,UK,FEAR,2,R,3.348,8,4.78,11,0.956,0.700418410041841,novel
107,HAPPY,Own,UK,HAPPY,2,L,1.132,2,4.78,11,0.956,0.236820083682008,famil
